time;logger;level;message;exception
2012-02-25 19:10:17.5559;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 967835648
  PollingInterval     = 00:02:00";
2012-02-25 19:10:17.6009;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2012-02-25 19:10:21.0521;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2012-02-25 19:10:21.0641;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2012-02-25 19:10:21.0641;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 - step 1/2;
2012-02-25 19:10:21.0641;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 - step 2/2;
2012-02-25 19:10:21.1151;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-02-25 19:10:21.3311;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-02-25 19:10:21.3401;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-02-25 19:10:21.3521;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-02-25 19:11:48.1531;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-02-25 19:11:48.3541;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -   378 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-02-25 19:12:01.7919;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-02-25 19:12:02.7279;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2012-02-25 19:12:03.2300;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-02-25 19:12:03.5070;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 - step 1/2;
2012-02-25 19:12:03.5070;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 - step 2/2;
2012-02-25 19:12:03.5070;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-02-25 19:12:03.7840;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-02-25 19:12:03.8480;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-02-25 19:12:04.0090;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-02-25 19:12:14.4256;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -    21 ms - <default>  - 200 - /docs?pageSize=0&noCache=967962689;
2012-02-25 19:12:14.7746;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -    71 ms - <default>  - 200 - /license/status?noCache=-1752585485;
2012-02-25 19:12:14.7946;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -    72 ms - <default>  - 200 - /build/version?noCache=-85153748;
2012-02-25 19:12:15.0446;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -    71 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=789894942;
